Name,Position,Scouting Report,Race
Jabril Cox,LB,"Excellent work ethic and is accomplishment-oriented on and off field.
 Not at all out of place athletically in move from FCS to SEC.
 Willing to play through pain.
 Outstanding field range with explosive closing burst.
 Comes from backside linebacker spot to make tackles near far sideline.
 Agility to make sudden change of direction in pursuit.
 Steps upfield to challenge block and push run back inside.
 Capable of playing quickly off the block and making tackle.
 Pocket navigation and acceleration to become dangerous blitzer.
 Sticks and runs with pass-catching tight ends in coverage.
 Instinctive and reactive when spot dropping.
 Finished college with 26 passes defensed, including nine career interceptions. Plays upright from the second level too often.
 Doesn't appear to be a very quick processor from inside.
 Early play quickness limited by excessive thinking.
 Lacking patience necessary to decipher misdirection.
 Loses pursuit leverage and occasionally overflows cutback lanes.
 Needs to become more aggressive taking on blocks.
 Gets outside shoulder covered more than he should.
 Inconsistent reading lane choices and blocking scheme.",NW
Elerson G. Smith,EDGE,"Long frame complemented by long arms.
 Added 50 pounds of quality mass since 2016.
 Flashes of his upside pop up in every game.
 Overmatched by size against Iowa State but still battled his tail off.
 Impressive snap timing and get-off quickness.
 Elongated first three steps gain plenty of ground into rush turn.
 Stalks and closes quarterbacks with efficiency once he's in the pocket.
 Will punch, lift and shuffle around the block at point of attack.
 Plays with some force in his hands.
 Appears to have gained more weight since 2019, which helps his cause. Skinny pegs holding up his frame.
 Had issues getting bounced around by bigger players.
 Ended up on the ground too often.
 Not enough contact balance to effectively withstand strong edge contact.
 Competition level aided his sack totals.
 Rush can be bumpy and segmented.
 Fails to generate much torque and push as power rusher.
 Needs to supplement basic rush attack by setting up counters.",NW
Bobby Brown III,DT,"* Size and traits to play both tackle spots in even front.
* Consistent to stay low off the ball.
* Doesn't linger on the block for very long.
* When feet are set under him, his anchor versus double teams can be sturdy.
* Reads zone and gets skinny to slink between blockers 
* Leverage helps him escape previously centered blocks.
* Adequate close-out down the line of scrimmage.
* Violent hands improve ability to soften edges as rusher.
* Fires a long-arm stab and runs behind it to push pocket as bull rusher.
* Recognizes screen development and makes quick double back Pass rush is typically lumbering.
 Would like to see more energy and spirit in his rush approach.
 Not enough edge-hunting to open door to the pocket.
 Doesn't get to rush counters to rid himself of mirroring pass protection.
 Rarely gets early arm extension at point of attack.
 Loose with feet, causing some inconsistency with his base.
 Movement isn't as controlled and efficient as it needs to be.
 Can improve with technique to improve hand control in read and react.",NW
Chris Rumph II,EDGE,"Unwilling to give in or give up as a pass rusher.
 Long strides gain ground quickly to the top of the rush.
 Submarines under outside hand and flattens to the quarterback.
 Lateral quickness creates havoc on twists and inside counters.
 Oily in upper and lower body for explosive flips past blockers.
 Secondary motor and scramble range lead to sacks.
 Challenges blocks with inside hands.
 Punch lands with full extension to stay clean.
 Wiggly working into gaps as penetrator.
 Burst to walk down wide-flowing run plays.
 Father is a long-time football coach. Lacks desired weight for edge duties against the run.
 Thin hips with lack of mass in his legs.
 Plays tall with narrow base affecting contact balance.
 Too many mistimed snaps and offside penalties.
 Landed punch discombobulates rush plan.
 Needs better strength to get to his power counters.
 Below-average hand force to grease the edge.
 Lost sacks due to lack of finishing strength.",NW
Kene Nwangwu,RB,"Elite testing numbers for a running back.
 Rocked-up physique with desirable size.
 Excellent worker with high-end intelligence.
 Uses size and strength to create push into the pile.
 Adequate open-field speed to hit the chunk play.
 Finishes with pad drop to drive through the tackler.
 Has no fumbles over his 146 career carries.
 Talented kick-returner.
 Size shows up in rare opportunities to pass protect. One-speed runner.
 Takes forever to gather and cut on wide stretch plays.
 Dances up toward the line when trying to read the front.
 Lacks instincts and vision to see a move ahead.
 Inside runs are missing feel for run lanes.
 Drops head and finishes when moves are still available.
 Clunky, mechanical footwork when cutting.
 Awkward as route-runner and rarely a third-down option.",NW
Rhamondre Stevenson,RB,"Very little wear and tear with 165 carries at Oklahoma.
 Running style is willful and belligerent.
 Adequate burst for lateral cuts from downhill track.
 Requires legitimate run support from cornerbacks to slow him.
 Carries first tackle try with him as he falls forward.
 Potential late-game option to help close out games.
 Hands soft enough to work out of the backfield.
 Used effectively in swing screens to get him the ball in space.
 Size and power to keep his quarterback protected.
 High-end kick-cover talent and core special teams potential. Needs ball tucked tight to frame to prevent fumbles.
 Limited one-cut ability due to tight hips.
 Loses forcefulness when feet are slowed or he's spilled outside.
 Runs with blurred vision as inside runner.
 Will unexpectedly take run off designed play track.
 Needs to improve at setting up blockers.
 Inconsistent keeping feet under him on cuts.
 Will need additional technique work to handle blitz pickup.",NW
Jordan Smith,EDGE,"Loads of production over two years at UAB.
 Freaky length with outstanding flexibility.
 Gains separation from blocks with his length.
 Has burst to hunt and capture from the backside.
 Plays with a good motor.
 Long-strider who chops up space quick to the edge.
 Able to flip hips and use long levers to pull himself around rush edge.
 Possesses adequate spin-counter to work with.
 Able to swing arm over for quick win inside.
 Sneaky bull-rush potential with more work and strength. * Play strength is a concern.
* Blockers stick to him when they get into his frame.
* Spindly base offers little help for contact balance.
* Ends up on the ground too often.
* Runners can break away from tackle attempts.
* Leggy pass rusher with segmented approach.
* Tackle's firm outside hand will end his edge rush attempts.
* Doesn't set up rush moves and pops up tall on inside counters.
* Unable to play through blocks 
* Lacks hand strength and skill for consistent rush success.
* Suspended by Florida in 2017 after credit card fraud allegations surfaced",NW
Tyler Shelvin,DT,"Excellent power and hard worker in the weight room.
 Legitimate space-saving size and toughness.
 Early to capture space in neutral zone off the snap.
 Quick recognition of pressure from down blocks.
 Able to hold off guards with his flipper.
 Good technique to corkscrew in and grow roots against double teams.
 Eats up leverage battle and lives under center's pads.
 Two-gapper with big pop and lift from his hips and hands.
 Daunting roadblock near the goal line.
 Ability to bludgeon smaller centers with his power rush. * Conditioning has been an issue 
* Carries excess weight and below-average body type.
* Gasses out over second half of the rep.
* Lacks range to make plays down the line.
* Too slow in getting off blocks to make tackles.
* Lacks lateral quickness to factor against stretch plays.
* Seal blocks hold up against him.
* Little rush production and unlikely to see the field on passing downs",NW
Zech McPhearson,CB,"Family full of former football and baseball players.
 Excellent learner, highly intelligent.
 Play strength to slow release momentum from press.
 Keeps feet under his pads through route breaks.
 Good straight-line speed.
 Baseball background sharpened ball-tracking.
 Stays in proper position to challenge the catch.
 Ball skills are tuned up.
 Shows up to do his part in run support.
 Has blocked two kicks, returns punts and covers kicks. Backpedal can be bumpy and rigid.
 Average footwork to swerve and change direction in space.
 Needs to improve route recognition.
 Loses feel for route when matched up from slot.
 Below-average jump-ball explosiveness.
 Inconsistent trusting his technique with back to ball.
 Below-average timing his openings.
 More of a drag-down tackler than wrap-and-lift finisher.",NW
John Bates,TE,"Built for the league with desired size and thickness.
 Releases quickly into routes off the snap.
 Sneaky speed in the seam.
 Quality catch radius.
 Can leap and make in-air adjustments to high throws.
 Able to drop and dig out lower throws.
 Lateral quickness on back-side zone blocks.
 Good positioning as blocker in space. Just two career touchdowns and 47 catches in 46 games.
 Doesn't always play to his true speed.
 One-speed routes are easier for defenders to read.
 Below-average foot quickness and hip sink for quick breaks underneath.
 Lacks instinctive route-running qualities.
 Allows coverage to crowd catch space and bother his focus.
 Tossed around at the point of attack by Washington in 2019.
 Hands aren't into block quickly enough.
 Needs to find balanced platform into run fit.",W
Camryn Bynum,CB,"Rare four-year starter and two-time captain.
 Scouts rave about his personal character.
 Good field intelligence and high football IQ.
 Disciplined playing with spatial balance against high-low concepts.
 Good read and react from short zone and Cover 3.
 Size to disrupt the catch point.
 Improved play strength and tackling in 2020.
 Eager to help in the running game. Below-average physical tools as NFL corner.
 Slow punch-and-reset from press.
 Long speed is a major concern.
 Unable to recover once he's behind.
 Doesn't have quickness to stay connected to the route.
 Delay to trigger forward from top of his drop.",NW
Chuba Hubbard,RB,"Showed ability to carry a significant load.
 Runs with good tempo.
 Smooth downhill flow with efficient change of direction.
 Instinctive through the traffic.
 Accurate reads up to linebackers in outside zone.
 Vision to recognize and get skinny through small creases.
 Agile feet to spin or jump-cut away from tacklers.
 Rarely bounces runs wide unnecessarily.
 Angle tackles slide off loose, slippery hips.
 Effective on screens and can work out of backfield against LBs. Is a little lighter than expected for the heavy tote total.
 Below-average leg drive to break NFL tackles.
 Not a fall-forward finisher.
 Running style is more rigid than creative.
 Needs willingness to improvise once he's on second level.
 Average burst to outrun faster linebackers to the corner.
 Fumbles come from carrying ball away from frame in space.
 Needs to improve blitz recognition and pass pro technique.",NW
Kylen Granson,TE,"Runs like a big wideout, creating matchup problems.
 Averaged over 16 yards per catch at SMU.
 Easy movement gliding around the field.
 Flashes good second gear to separate.
 Alters route speed to keep defender off balance.
 Instant with catch-to-run transitions underneath.
 Speed after the catch is a major concern for defenses.
 Plays with control and footwork into his blocks.
 Works proper angles in the run game.
 Willing blocker who can get a win from the slot. Needs a favorable matchup to survive as point-of-attack blocker.
 Lack of play strength gets him tossed around in run game.
 Hands too wide into the block.
 Tightness into breaks allows recovery time for coverage.
 Slow gather-and-open to quarterback on short routes.
 Needs to block out coverage more effectively at catch point.
 Doesn't find optimal sweet spots when working zone beaters.
 Hand-eye coordination is problematic.
 Had four drops in big game against Cincinnati.",NW
Dan Moore Jr.,OT,"Three-year starter.
 Play was much more consistent in 2020.
 Pass pro movements are athletic.
 Decent patience against rush counters.
 Adequate recovery anchor against the bull rush.
 Quality ability as cut-blocker.
 Mindful of footwork and technique on double teams.
 Runs feet to secure washdown blocks on outside zone.
 Showed off quality second-level adjustments against Arkansas. Outside hands are too wide, causing him to gather rather than punch.
 A bit of a heel-clicker at times in pass slides.
 Needs to pick a target and fully commit when faced with blitz.
 Doesn't feel long enough to control point of attack and execute kick outs.
 Would like to see more aggression into first contact as run blocker.
 Inconsistent body control and positioning to consistently secure his block.
 Rarely controls the action with strong hands.
 Below-average demeanor as block finisher.",NW
Jaelon Darden,WR,"Set a slew of all-time North Texas receiving records.
 Had 31 receiving touchdowns over last 21 games.
 Averaged 132 yards per game in 2020.
 Offers instant gadget-package potential.
 Loose hips for tight cuts and breaks.
 Turbo boosted acceleration and long speed.
 Can stem and slingshot past off-man coverage into easy separation.
 Creates nightmares for safeties in space.
 Has wiggle and juice to pile on yards after catch. Very slightly built with small hands.
 Frequently faced single coverage against slower corners in college.
 Leans into breaks, giving away pathways to the coverage.
 Not a fan of working into the middle with safeties lurking.
 Unable to overcome size liability in contested catches.
 Not much of a catch radius in any direction.",NW
Robert Rochell,CB,"Highly coveted physical and athletic traits.
 Explosive leaper with long arms and tremendous straight-line speed.
 Legitimate ball-hawking talent with 12 career takeaways.
 Speed to stay in phase down the sideline.
 Recovery speed jumps off the tape.
 Shadows and crowds any outside release.
 His leap and length create challenging high-point roadblock for receivers.
 Spies the throw and will overlap his coverage to make plays on the ball.
 Uses long arms to tag and separate from blocks in space.
 Accelerates through targets and wraps up as a tackler. Needs to improve press technique and calm his feet.
 Too persuaded by early release fakes.
 Inconsistent slowing the release from press.
 Upright pedal causes delays with lateral and vertical transitions.
 Average plant-and-drive to the throw from the top of his drop.
 Forgets to find the football when he's in trail position.
 Can do a better job of smothering routes underneath.
 Loses contain duties at times.
 Occasional imbalance when changing direction.",NW
Tylan Wallace,WR,"Fearless competitor and plays bigger than his size.
 Fights back against physical coverage.
 Rock-steady production for three straight seasons.
 Attentive route runner, featuring sharp angles and crisp cuts in his work.
 Has bend and footwork to get in and out of complex routes with quickness.
 Squares shoulders to quarterback as presentable target on slants.
 Uses body to shield the catch point on first two levels.
 Silky smooth attack game on jump balls.
 Operates with impeccable timing when attacking the deep ball.
 Leaps, floats, adjusts, secures and scores.
 Strong hands and ball adjustments come naturally to him.
 Able to focus and catch through heavy contact.
 Aggressive runner after the catch. Didn't see NFL-caliber coverage often in his conference.
 Shorter arms for the position.
 Can be detoured by press coverage.
 Upright initial charge lacks instant gas.
 Inconsistent route effort when he's not the intended target.
 Average acceleration out of stems.
 Occasionally opts to look for circus catch rather than working earlier for positioning.
 Failed to finish a few would-be grabs.",NW
Tommy Togiai,DT,"Dense, thickly muscled arms.
 Much better hand usage in 2020.
 Low pad level off the snap and into contact.
 Plays through blocker's edge with strength and force.
 Keeps fighting back against a block and doesn't give in.
 Gets into crevice of combination blocks and looks to split it.
 Keeps motor running to extend his pursuit.
 Gathers weight and changes direction with efficiency.
 Active rush feet slide around stagnant pass protection.
 Well-timed lateral tackle attempts for runners in his gaps. Undersized and occasionally overwhelmed by the big boys.
 Unable to plant roots against average double-team blocks.
 Sawed off frame with short arms.
 Rarely see transition of quick punch into block control.
 Tight hips compromise base on lateral engagements.
 Has trouble getting unglued from sustained blocks.
 Below-average rush talent.
 Hustle rusher but lacks ability to upend pass pro effectively.
 Lacks lateral quickness for twists between defensive tackles.",NW
Ian Book,QB,"Three-year starter and two-time team captain.
 Leadership is important to him and he's highly respected by teammates.
 Feet are quick in his setup on play-action.
 Climbs pocket when he feels the edge caving in.
 Footwork and ball-handling for RPOs.
 Expedites his operation process when he reads hot.
 Hangs in tough to deliver throws in face of impending hits.
 Throws the football with good touch and catchability.
 Escapability to make plays outside the pocket.
 Slippery runner once he's inside the red zone. Needs to get through his progressions faster.
 Has issues with indecisiveness at times.
 Carries ball low in the pocket and throws with a windup.
 Lacks arm strength to make all the pro throws.
 Will struggle to zip it between linebacker and safety.
 Completion totals were abysmal outside the numbers.
 Not a natural anticipatory thrower.
 Ball placement is inconsistent.
 Has issues air-mailing throws way over targets.
 On the shorter side by NFL standards.",W
Janarius Robinson,EDGE,"NFL-caliber size and strength as an even-front defensive end.
 Possesses ridiculous 86-inch wingspan and massive hands.
 Expected to test well, showing quickness and explosion.
 Above-average play strength to set firm edges.
 Aggressive when taking on pulling blocks to spill runs wide.
 Loose hips provide bend and agility in the box.
 Pure strength to beat blocking tight ends in front of him.
 Upfield burst gives life to initial rush attack.
 Darts from edge to edge, creating rush opportunities.
 Displays ability to bend and flatten into the pocket.
 Brings plenty of force as a striker. Relatively thin lower half for his listed size.
 Needs to keep his motor running and finish plays.
 Disappointing lack of fight against Florida.
 Inconsistent controlling the point of attack.
 Relies too heavily on his feet and not enough on his hands.
 Allows tackle access to his frame in pass pro.
 Elevates pad level on counters, allowing easier redirection.
 Drops head, losing sight of ball-carrier.
 Below-average body control as tackler.",NW
Rashad Weaver,DE,"Rented space in ACC backfields in 2018 and 2020.
 Good size with plenty of length along the edge.
 Jarring pop in his hands and upper body.
 Sneaky efficient punching and working around the block.
 Strength and length to beat back TE/OT double-teams.
 Capable of posting up the edge as two-gapper.
 Adequate hand usage as a rusher.
 Inside power-counter at the top of the rush opens door to quarterback.
 Keeps hands active in the passing lane when rush stalls. * Plays almost straight up and down at point of attack.
* Pad level and narrowing base lead to imbalances.
* Slow twitch for a 4-3 defensive end.
* Lacks desired coordination 
* Inconsistent bracing against strong angle blocks.
* Unable to pose a serious threat to the edge with get-off.
* Lethargic, upright inside-counter quickness.
* Below-average reactive athleticism as tackler in space",NW
Marco Wilson,CB,"One of four true freshmen to start at cornerback in Florida history.
 Brother of NFL defensive back Quincy Wilson.
 Good size with plenty of play strength.
 Athletic, with smooth hips in transitions.
 Willing to attack and jump the slant route.
 Sees route progressions clearly from zone.
 Disciplined to midpoint high-low route combinations.
 Good closing burst when he's in recovery mode.
 Explosive leaper with ability to shade the jump ball.
 Forceful at the catch point. Best season was as a freshman in 2017.
 Late getting into position multiple times pre-snap.
 His man coverage wasn't as competitive in 2020.
 Needs to play with better squeeze at the top of the route.
 Beat deep twice in the game against Texas A&M.
 Will get a little too upright in space.
 Run-support demeanor is lacking.
 Doesn't look to see, hit and wrap the runner.",NW
Tre Brown,CB,"Very strong for his size.
 Turns press release into a fist fight.
 Bullies passive receivers through their release.
 Solid short-area quickness and twitch.
 Burst to the ball is explosive.
 Jumps on top of throws from short zone.
 Very few wasted steps when planting to drive.
 History of making game-sealing plays.
 Feisty in his run support.
 Special-teams demon.
 Plays with wild abandon as gunner and on kick coverage. Reaches rather than slides to meet lateral release.
 Gets caught lingering with eyes in backfield.
 Below-average instincts to stick close to the route.
 Lack of length shows up at catch point.
 Simply doesn't trust size or technique down the field.
 Chronic grabber with 14 holding/interference penalties over last two years, per PFF.
 Battles hard but gets big-boyed on jump balls.
 Pulled out of position by undisciplined footwork.
 Short arms could become a factor as tackle-finisher in pros.",NW
Josh Ball,OT,"Desired pro blend of size, length and athletic ability.
 Natural knee-bender with fluid movements.
 Quick, rhythmic pass slides gain proper depth.
 Punch is sudden and snappy.
 Loose hips to recover and run rushers past the pocket.
 First-step quickness to gain positioning advantage in run game.
 Bend and upward strikes create leverage point.
 Can get to all the angles to reach, seal and/or climb.
 Sustains his block with big, strong hands.
 Extra fluid and agile as blocker in space.
 Runs feet through block and is angry finisher. Overly responsive with pass sets and mirroring.
 Needs to work with better inside/out leverage.
 Opens himself up to inside counters.
 Late weight shift to outside foot at the top of his sets.
 Could use more diversity in his punch approach.
 Weight gets too far forward in pass sets.
 Doesn't always center up when fitting into first contact.
 Could use better play strength at point of attack.",W
D'Ante Smith,OT,"Tremendously long.
 Has 85-inch wingspan and 35-inch arms.
 Punch is well-timed and has some snap on it.
 Keeps scrambling in recoveries and will find wins.
 Lateral foot quickness to make back-side/play-side reach blocks.
 Good rhythm as a work-up blocker to second level.
 Looks to get a strong finish once he takes the lead as run blocker.
 Length helps with last second redirection blocks. Narrow through waist, hips and chest.
 Has struggled to keep enough weight on his frame.
 Way too much lean and reach in his play.
 Needs to trust his length and foot quickness more often.
 Upper-body strength is way below par.
 Struggles to press, extend and separate at point of attack.
 Gets tossed around by powerful opponents.
 Overreacts in pass pro, creating easy counter shots.
 Doesn't have the body control or block sustain teams look for.",NW
Buddy Johnson,LB,"Team leader through actions and words.
 Good size, definition and aggression.
 Durable and tough with experience inside and outside.
 Took big leap forward with feel for inside linebacker position in 2020.
 Careful not to overshoot running back's entry point.
 Works hard to recover from missteps to get back into the play.
 Does dirty work to help defense thrive.
 Physical striker and wrap-up finisher.
 Attacks the block with aggressive punch.
 Plays with alpha demeanor to control the action inside. Needs to get deeper downhill to short-circuit pulling guards.
 Allowed Alabama's Landon Dickerson time to climb up and block him.
 Needs to slip blocks occasionally rather than always going to battle.
 Hip tightness hinders open-field coverage agility.
 Looked lost with coverage responsibilities at times.
 Needs to stay light on his feet as open-field tackler.",NW
Jacob Harris,WR,"Powers through route redirection from defensive backs.
 Traits to cause trouble down the field.
 Averaged 20.1 yards per catch during his UCF career and 9 of his 49 catches resulted in TDs.
 Long strider with explosive build-up speed.
 Has box-out talent when he gets coverage on his hip.
 Plus athlete who's able to adjust to the throw in air.
 Leverages routes and is smooth through turns.
 Good effort to engage and sustain on receiver screens. Needs to become more willful with his size.
 Hits route turns without enough fake at the top.
 Below-average suddenness and physicality underneath.
 Doesn't have natural feel for positioning in space.
 Needs to post better win percentage on contested catches.
 Hands were a mess at times in 2020, as he dropped two would-be touchdowns on deep throws.",W
Royce Newman,G,"Has starting experience at guard and tackle.
 Comes off ball with choppy settle step in run-up to contact.
 Accurate, strong hands give him early advantages.
 Strikes with good base width and balance.
 Strains into arm extension and works to sustain blocks.
 Above-average reactive athleticism versus stunts.
 Consistent finding footing on reach plays and gets move blocks sealed.
 Agility to adjust and tag moving targets in space.
 Pass slides looked smooth and natural.
 Above-average footwork to mirror and defend his edges.
 Stiff, inside hand lands in the same spot every time. Up and down when faced with size and power.
 Two-gappers had success in standing him up.
 Has tendency to let go of second-hand contact and try to long-arm.
 Candidate to be bull-rushed if he's not first with his punch.
 Needs to guard against over-sets.
 Base has a tendency to get too wide in pass pro.
 Wide, undisciplined hands when rushers charge him.",W
Tyree Gillespie,SAF,"Possesses size and movement of NFL safety.
 Played his best game of the year against Alabama.
 Takes quality angles to attack digs and overs.
 Aggressive pad delivery to strike and dislodge the football.
 Capable downhill change of direction in pursuit.
 Reads quarterback and will shade his coverage accordingly.
 Hung in against Florida TE Kyle Pitts in man coverage.
 Willing tackler with strength to handle one-on-one stops.
 Gunner and kick coverage experience. No interceptions during his career.
 Keys quarterback but occasionally loses sight of routes.
 Tardy to alter drop direction once he's been looked off.
 Questionable range, getting to deep sideline help a step or two too late.
 Needs to operate with a tighter squeeze on digs and over routes.
 Allows too many open throws in front of his face.
 Lost contain duties in run support against Florida.
 Can improve angles to the football for better tackle accuracy.
 Leaves feet too early as open-field tackler.",NW
Joshua Kaindoh,DE,"Long, NFL-caliber frame with even more room for muscle.
 Adequate upfield spring off the snap and into neutral zone.
 Initial quickness and body lean help him knife into B-gap on slants.
 Uses length to separate and set the edge.
 Capable of getting from one edge to the other with his rush counter.
 Speed-to-power conversion potential as a pro.
 Length could become more effective rush weapon with work. Has dealt with injuries and made just 10 career starts.
 Looked as though he were favoring left ankle at times.
 Play tends to be segmented and lacks athletic fluidity.
 Doesn't use size traits to command the rep.
 Below-average rush with only one sack in his last 11 games.
 Inaccurate hand slaps fail to open outside rush lanes.
 Not enough bend to dip below punch at top of the rush.
 Runs out of gas during chase.",NW
Luke Farrell,TE,"Size and strength to create some pop into first contact.
 Comes out of his stance with good pad level.
 Uses hands and hips to fire upward punch for leverage.
 Adequate feel for positional blocking duties.
 Has operated in-line and as move blocker in space.
 Will leverage man coverage away from his breaks.
 Finds optimal soft spots of zone.
 Scrambles open for his quarterback when play comes off schedule.
 Hands are reliable. * Good size but somewhat narrow through his hips for a Y tight end.
* Very lethargic off the snap and into routes.
* Lacks functional speed to attack the seam in the NFL.
* Won't be responsible for very many yards after catch.
* More mechanical than passionate as run blocker 
* Will need to work with more consistent aggression on the next level.
* Has trouble sliding feet and catching inside moves",W
Jamien Sherwood,SAF,"Long-limbed with massive wingspan.
 Adds on to the box for run/pass support.
 Desired size to cover Y tight ends in man.
 Hits and tackles like a pro.
 Runs alley and contacts runner with intent.
 Breaks down into wide, tackle-ready positioning in space.
 Fast and physical short-circuiting receiver screens from the slot.
 Fierce hitter to intimidate receivers over the middle.
 Core special teams talent. Heavy feet driving into depth from short zone.
 Below-average short-area twitch to shade route breaks.
 Takes time to mash the gas after opening to run.
 Could have trouble with pass-catching tight ends who can get vertical.
 Occasional confusion against route combinations and bunch sets.
 Lacks athletic talent or speed to play over the top.
 Ineffective hand placement taking on the block.
 Needs to learn to slip blocks to avoid taking rides.",NW
Brevin Jordan,TE,"Three-year starter with adequate size.
 Highly decorated as in-line and slot option.
 Appeared to play with an elevated level of confidence.
 Improved route work and quickness out of breaks in 2020.
 Takes tight angles on out-breaking routes.
 Stems and creates openings for quarterback on short slant.
 Scrambles open on off-schedule pass plays.
 Absorbs heavy strikes and continues on after the catch.
 Adequate acceleration after the catch.
 Can be a punishing runner with the ball in his hands. Drops head into contact and blocks with erratic technique.
 Block sustain will require much more work.
 Gradual route bends between hashes give positioning away.
 Balance is volatile in pattern work.
 Tight hips restrict intermediate opportunities.
 Needs more aggression at the top of the route.
 Excessive body-catching and bobbles.
 Not a very reliable option when catch is contested.",NW
Ta'Quon Graham,DT,"Elite length with over 35-inch arms.
 Athletic build for an interior lineman.
 Heavy hands taking on blocks.
 Shows some stack-and-shed talent at the point of attack.
 Length gives him a shot to find quick wins at point of attack with more work.
 Might be able to set strong edges as an odd-front end.
 Hands and feet work together in lateral slides across blocker's face. Average first step into neutral zone.
 Engages with blocks and loses sight of the football.
 Heavy feet lack play range and closing burst.
 Needs earlier attack with his hands.
 Below-average strength as pure interior player.
 Slow-twitch tackling mechanism.
 Head-first rusher with no true go-to moves.
 Sluggish movements in twist game.",NW
Evan McPherson,K,"Connected on 85 percent of his career field goals.
 Made 94.5 percent from inside 40 yards during career.
 Kicks with short, controlled follow through.
 Uses drive kick when he needs extra on it.
 Consistent trajectory and end-over-end balls.
 Adequate hang-time on kickoffs. Smaller than average build.
 Saw field goal percentage drop to 77 percent in 2020.
 Missed on his last three field goal tries of 50 yards or more.
 Kicked off out of bounds twice in 2020.",W
Kenneth Gainwell,RB,"Heavy workload with big production in 2019.
 Calm in the face of early penetration.
 Lateral change of direction is sudden with wide first stride.
 Will press zone carries deep before cutting it back.
 Simultaneously reads blocker and defensive movements.
 Fluid field vision allowing for sudden alterations of run track.
 Keeps feet close to the ground for improved balance.
 Pads stay square to pinball off angle tackles.
 Crisp footwork allows him to effectively stack moves.
 Seamless cuts with lack of wasted motion.
 Gets blitz pickup squared and rarely cheats the effort. Only one season of starting experience under his belt.
 Magnet for extremely heavy contact.
 Gets wiped out as interior runner.
 Allows feet to widen from under his pads.
 Creativity diminishes once he's up to second and third levels.
 Is elusive but doesn't bring much force to his carries.
 One-speed runner with very average burst.
 Might not have the gas to outrun defenses to the corner.
 Hesitant committing to cutback lanes at times.",NW
Larry Borom,G,"Play experience at both tackle spots and at guard.
 Broad waist and thick chest.
 Able to match size on size in a phone booth.
 Size creates natural movement as down blocker.
 Has some knock-back pop at impact.
 Strong upper body shows up when his punch lands.
 Big body is hard to maneuver around.
 Impressive redirect power to press and collapse edge rusher. More mauler than controlled blocker.
 Slippery hands slide off his target.
 Doesn't spend enough time connected to his blocks.
 Lumbering lateral movement prohibits cut-off blocks.
 Too stiff-legged when blocking on the move.
 Unable to find proper range in pass sets as tackle.
 Inability to get feet set properly leads to inconsistent anchor.",NW
Caden Sterns,SAF,"Much-improved open-field tackling in 2020.
 Breaks down in space and gets tackle-ready.
 Mirrors sudden lateral cuts and springs into the tackle.
 Aggressive hitter and wrap-up tackler.
 Possesses straight-line speed to range over the top.
 Sudden and explosive leaper at high point.
 Uses length to help make plays on the football.
 Traits to be targeted as a quality special teams contributor. Long, but leggy in space.
 Stalls in plant-and-drive phase to attack throws in front of him.
 Short-area movement is labored.
 Unable to flip hips and run with smoothness.
 Sees field through a straw and falls prey to misdirection.
 Not a natural deep safety, allowing receivers behind him.
 Ball-tracking appears below average.
 Questionable angles to the ball.
 Needs better downhill urgency to limit open-field options for runners.",NW
Tony Fields II,LB,"Good patience in diagnosing run play development.
 Rarely makes ill-advised charges into traffic.
 Scrapes with pads squared to the action.
 Reads and anticipates cut-back lanes from second level.
 Able to sidestep blocks and work back to the ball-carrier.
 Productive tackler in all four seasons.
 Capable blitzer with instinctive angles of pursuit. Lacks NFL size for the position.
 Can be smothered by big bodies if he's not careful.
 Below-average play strength and downhill aggression.
 Sits and waits on lead blocks rather than proactively attacking.
 Fires low on the legs and has too many missed tackles.
 Inconsistent playing off the block.
 Loses track of his coverage duties from man and zone.",NW
Michael Carter II,CB,"2020 team captain.
 Adequate toughness as nickel run defender.
 Willing to stack the block and spill runner wide.
 Sprawling tackler with finisher's demeanor.
 Play strength to grind on receiver's release off the line.
 Well-timed openings to turn and run with his man.
 Maintains feel for linear routes.
 Prioritizes playing the throw over playing the receiver. No match for Alabama's Jerry Jeudy and Jaylen Waddle in 2019.
 Pulled out of press position by release fakes.
 Occasionally loses his route leverage.
 Inconsistent balance and break timing from off-man.
 Has trouble finding positioning against downfield throws.
 Needs to trust his technique and get head around.
 Can be delayed in getting off the block.",NW
Jaylon Moore,OT,"Three-year starter.
 Rockets out of stance as run and pass blocker.
 Pass slides are quick but quiet.
 Foot quickness to handle mirror duties against active rushers.
 Heavy hands with pinpoint placement when he's first.
 Possesses massive 11-inch hands to clamp into opponent's frame.
 Lateral agility is a strength.
 Can make all the move blocks on play-side and back-side.
 Smart player with solid technique and feel for angles.
 Centers up blocks and runs feet to secure. Sets up narrow in his pre-snap stance.
 Needs to work on keeping feet under his pads.
 Defaults to forward leaning to brace against the rush.
 Falls forward and out of the play when hands get wiped out early.
 Results much more erratic against stronger foes.
 Power players display ability to dislodge him with leverage.
 Would like to see more consistency as block finisher.",NW
